,team,total,home,team_opp,total_opp,home_opp,date,Season,won,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,PER_Combined,PER_Combined_opp
10,MIL,124,0,PHI,109,1,2024-10-23,2025,True,240.0,43.0,80.0,0.538,16.0,37.0,0.432,22.0,31.0,0.71,8.0,38.0,46.0,27.0,4.0,9.0,14.0,23.0,0.662,0.638,0.463,0.388,20.0,69.1,48.4,62.8,4.0,13.4,13.0,100.0,125.0,109.9,9.0,19.0,0.857,6.0,12.0,1.0,9.0,16.0,1.0,3.0,13.0,14.0,7.0,2.0,6.0,4.0,5.0,30.0,19.0,1.143,1.143,0.833,1.455,54.1,36.4,22.8,35.1,11.9,12.1,27.7,60.4,237.0,120.0,41.0,98.0,0.418,8.0,31.0,0.258,19.0,27.0,0.704,17.0,32.0,49.0,18.0,4.0,2.0,10.0,28.0,0.496,0.459,0.316,0.276,30.9,80.0,51.6,43.9,4.0,4.7,8.3,100.0,109.9,125.0,10.0,31.0,1.0,3.0,9.0,1.0,4.0,6.0,1.0,5.0,8.0,13.0,6.0,3.0,1.0,3.0,6.0,25.0,6.0,1.0,1.0,1.0,2.0,32.9,38.3,26.2,44.2,5.7,3.0,24.4,34.7,205.0,130.0,52.400000000000006,94.80000000000001
11,NOP,123,1,CHI,111,0,2024-10-23,2025,True,240.0,45.0,97.0,0.464,14.0,37.0,0.378,19.0,21.0,0.905,7.0,35.0,42.0,29.0,15.0,10.0,12.0,17.0,0.579,0.536,0.381,0.216,15.6,79.5,47.2,64.4,13.9,19.2,10.1,100.0,113.8,102.7,13.0,23.0,1.0,5.0,11.0,0.667,6.0,7.0,1.0,3.0,8.0,8.0,10.0,4.0,3.0,3.0,4.0,33.0,18.0,1.0,1.0,1.0,1.333,100.0,29.1,53.9,41.5,7.0,92.3,25.4,100.0,231.0,115.0,42.0,86.0,0.488,10.0,34.0,0.294,17.0,25.0,0.68,9.0,38.0,47.0,26.0,4.0,2.0,21.0,16.0,0.572,0.547,0.395,0.291,20.5,84.4,52.8,61.9,3.7,3.3,17.8,100.0,102.7,113.8,10.0,17.0,1.0,5.0,8.0,1.0,4.0,7.0,1.0,3.0,9.0,11.0,6.0,1.0,1.0,7.0,4.0,27.0,8.0,1.5,1.5,1.0,2.0,18.9,45.4,23.0,40.2,25.1,3.3,34.7,28.0,300.0,119.0,71.5,63.3
12,CHI,111,0,NOP,123,1,2024-10-23,2025,False,240.0,42.0,86.0,0.488,10.0,34.0,0.294,17.0,25.0,0.68,9.0,38.0,47.0,26.0,4.0,2.0,21.0,16.0,0.572,0.547,0.395,0.291,20.5,84.4,52.8,61.9,3.7,3.3,17.8,100.0,102.7,113.8,10.0,17.0,1.0,5.0,8.0,1.0,4.0,7.0,1.0,3.0,9.0,11.0,6.0,1.0,1.0,7.0,4.0,27.0,8.0,1.5,1.5,1.0,2.0,18.9,45.4,23.0,40.2,25.1,3.3,34.7,28.0,300.0,119.0,45.0,97.0,0.464,14.0,37.0,0.378,19.0,21.0,0.905,7.0,35.0,42.0,29.0,15.0,10.0,12.0,17.0,0.579,0.536,0.381,0.216,15.6,79.5,47.2,64.4,13.9,19.2,10.1,100.0,113.8,102.7,13.0,23.0,1.0,5.0,11.0,0.667,6.0,7.0,1.0,3.0,8.0,8.0,10.0,4.0,3.0,3.0,4.0,33.0,18.0,1.0,1.0,1.0,1.333,100.0,29.1,53.9,41.5,7.0,92.3,25.4,100.0,231.0,115.0,63.3,71.5
13,TOR,106,1,CLE,136,0,2024-10-23,2025,False,240.0,36.0,86.0,0.419,12.0,31.0,0.387,22.0,29.0,0.759,14.0,24.0,38.0,25.0,8.0,6.0,19.0,24.0,0.537,0.488,0.36,0.337,33.3,75.0,51.4,69.4,8.0,10.5,16.1,100.0,106.2,136.3,5.0,14.0,1.0,4.0,6.0,0.8,4.0,6.0,1.0,4.0,6.0,9.0,5.0,2.0,2.0,5.0,5.0,18.0,1.0,1.0,1.0,1.0,2.0,18.1,48.6,29.5,59.9,5.7,5.8,39.2,36.5,200.0,141.0,51.0,87.0,0.586,14.0,30.0,0.467,20.0,26.0,0.769,8.0,28.0,36.0,29.0,10.0,9.0,13.0,22.0,0.691,0.667,0.345,0.299,25.0,66.7,48.6,56.9,10.0,16.4,11.7,100.0,136.3,106.2,9.0,14.0,1.0,3.0,6.0,1.0,6.0,7.0,1.0,4.0,7.0,9.0,6.0,3.0,4.0,2.0,4.0,25.0,31.0,1.1,1.5,1.0,2.0,22.3,40.6,26.3,42.4,5.2,13.4,51.5,29.7,195.0,119.0,50.199999999999996,72.5
14,ORL,116,0,MIA,97,1,2024-10-23,2025,True,240.0,41.0,96.0,0.427,18.0,49.0,0.367,16.0,22.0,0.727,18.0,39.0,57.0,28.0,8.0,8.0,14.0,21.0,0.549,0.521,0.51,0.229,36.0,81.3,58.2,68.3,8.3,16.7,11.7,100.0,120.7,100.9,12.0,24.0,0.75,6.0,9.0,0.667,5.0,6.0,1.0,4.0,10.0,14.0,6.0,2.0,2.0,2.0,3.0,33.0,42.0,1.0,1.0,1.0,1.0,16.8,37.6,25.8,51.9,4.4,17.5,66.7,34.2,178.0,113.0,32.0,82.0,0.39,11.0,34.0,0.324,22.0,29.0,0.759,9.0,32.0,41.0,24.0,5.0,8.0,11.0,19.0,0.512,0.457,0.415,0.354,18.8,64.0,41.8,75.0,5.2,17.0,10.4,100.0,100.9,120.7,7.0,15.0,1.0,2.0,7.0,1.0,7.0,10.0,1.0,3.0,6.0,6.0,5.0,2.0,2.0,3.0,4.0,19.0,13.0,1.215,1.25,1.0,2.0,16.0,18.0,12.8,34.1,8.0,16.3,50.0,31.2,200.0,128.0,83.0,77.1
15,LAC,113,1,PHO,116,0,2024-10-23,2025,False,265.0,42.0,92.0,0.457,8.0,29.0,0.276,21.0,30.0,0.7,13.0,38.0,51.0,27.0,9.0,1.0,22.0,29.0,0.537,0.5,0.315,0.326,25.5,90.5,54.8,64.3,8.1,2.5,17.3,100.0,101.9,104.6,10.0,28.0,1.0,2.0,9.0,1.0,7.0,9.0,1.0,3.0,9.0,12.0,8.0,2.0,1.0,8.0,6.0,29.0,7.0,1.127,1.25,1.0,1.0,16.0,29.9,17.6,37.0,4.7,3.3,25.8,41.8,216.0,109.0,38.0,78.0,0.487,15.0,38.0,0.395,25.0,34.0,0.735,4.0,38.0,42.0,25.0,12.0,9.0,22.0,23.0,0.624,0.583,0.487,0.436,9.5,74.5,45.2,65.8,10.8,14.3,19.1,100.0,104.6,101.9,8.0,17.0,1.0,4.0,6.0,0.8,7.0,9.0,1.0,2.0,9.0,9.0,8.0,3.0,1.0,7.0,6.0,25.0,14.0,1.0,1.0,0.857,3.0,20.6,41.9,28.0,39.7,4.3,9.6,37.5,29.5,216.0,106.0,88.60000000000001,76.3
16,PHO,116,0,LAC,113,1,2024-10-23,2025,True,265.0,38.0,78.0,0.487,15.0,38.0,0.395,25.0,34.0,0.735,4.0,38.0,42.0,25.0,12.0,9.0,22.0,23.0,0.624,0.583,0.487,0.436,9.5,74.5,45.2,65.8,10.8,14.3,19.1,100.0,104.6,101.9,8.0,17.0,1.0,4.0,6.0,0.8,7.0,9.0,1.0,2.0,9.0,9.0,8.0,3.0,1.0,7.0,6.0,25.0,14.0,1.0,1.0,0.857,3.0,20.6,41.9,28.0,39.7,4.3,9.6,37.5,29.5,216.0,106.0,42.0,92.0,0.457,8.0,29.0,0.276,21.0,30.0,0.7,13.0,38.0,51.0,27.0,9.0,1.0,22.0,29.0,0.537,0.5,0.315,0.326,25.5,90.5,54.8,64.3,8.1,2.5,17.3,100.0,101.9,104.6,10.0,28.0,1.0,2.0,9.0,1.0,7.0,9.0,1.0,3.0,9.0,12.0,8.0,2.0,1.0,8.0,6.0,29.0,7.0,1.127,1.25,1.0,1.0,16.0,29.9,17.6,37.0,4.7,3.3,25.8,41.8,216.0,109.0,76.3,88.60000000000001
17,HOU,105,1,CHA,110,0,2024-10-23,2025,False,240.0,38.0,103.0,0.369,13.0,43.0,0.302,16.0,20.0,0.8,16.0,27.0,43.0,19.0,8.0,4.0,8.0,18.0,0.47,0.432,0.417,0.194,28.1,64.3,43.4,50.0,8.3,8.7,6.7,100.0,108.7,113.9,10.0,23.0,0.5,5.0,15.0,1.0,5.0,5.0,1.0,6.0,12.0,18.0,6.0,4.0,1.0,3.0,4.0,28.0,14.0,0.625,0.625,0.714,0.429,24.1,40.5,25.8,31.8,7.7,6.7,37.5,31.7,160.0,125.0,38.0,85.0,0.447,15.0,39.0,0.385,19.0,24.0,0.792,15.0,41.0,56.0,20.0,6.0,10.0,17.0,21.0,0.576,0.535,0.459,0.282,35.7,71.9,56.6,52.6,6.2,16.7,15.1,100.0,113.9,108.7,10.0,20.0,0.75,4.0,12.0,0.667,10.0,10.0,1.0,3.0,9.0,9.0,11.0,1.0,2.0,4.0,5.0,34.0,14.0,0.697,0.75,0.667,0.667,15.3,23.5,16.5,55.0,4.6,10.7,26.7,30.9,157.0,116.0,70.1,107.5
18,CHA,110,0,HOU,105,1,2024-10-23,2025,True,240.0,38.0,85.0,0.447,15.0,39.0,0.385,19.0,24.0,0.792,15.0,41.0,56.0,20.0,6.0,10.0,17.0,21.0,0.576,0.535,0.459,0.282,35.7,71.9,56.6,52.6,6.2,16.7,15.1,100.0,113.9,108.7,10.0,20.0,0.75,4.0,12.0,0.667,10.0,10.0,1.0,3.0,9.0,9.0,11.0,1.0,2.0,4.0,5.0,34.0,14.0,0.697,0.75,0.667,0.667,15.3,23.5,16.5,55.0,4.6,10.7,26.7,30.9,157.0,116.0,38.0,103.0,0.369,13.0,43.0,0.302,16.0,20.0,0.8,16.0,27.0,43.0,19.0,8.0,4.0,8.0,18.0,0.47,0.432,0.417,0.194,28.1,64.3,43.4,50.0,8.3,8.7,6.7,100.0,108.7,113.9,10.0,23.0,0.5,5.0,15.0,1.0,5.0,5.0,1.0,6.0,12.0,18.0,6.0,4.0,1.0,3.0,4.0,28.0,14.0,0.625,0.625,0.714,0.429,24.1,40.5,25.8,31.8,7.7,6.7,37.5,31.7,160.0,125.0,107.5,70.1
19,DET,109,1,IND,115,0,2024-10-23,2025,False,240.0,38.0,88.0,0.432,9.0,33.0,0.273,24.0,28.0,0.857,12.0,26.0,38.0,22.0,6.0,2.0,14.0,21.0,0.543,0.483,0.375,0.318,27.3,78.8,49.4,57.9,6.1,3.8,12.2,100.0,110.5,116.6,10.0,23.0,1.0,4.0,7.0,0.571,7.0,9.0,1.0,4.0,9.0,13.0,8.0,2.0,1.0,2.0,3.0,28.0,9.0,1.0,1.0,0.778,1.5,14.5,46.7,27.0,68.1,6.4,5.4,50.0,31.8,205.0,123.0,42.0,83.0,0.506,9.0,31.0,0.29,22.0,25.0,0.88,7.0,32.0,39.0,32.0,10.0,8.0,15.0,23.0,0.612,0.56,0.373,0.301,21.2,72.7,50.6,76.2,10.1,14.5,13.8,100.0,116.6,110.5,8.0,18.0,0.875,3.0,9.0,0.667,7.0,9.0,1.0,3.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,20.0,20.0,1.136,0.875,1.0,1.125,22.9,34.6,19.8,58.6,5.2,13.9,53.2,46.4,152.0,122.0,78.4,81.39999999999999
20,ATL,120,1,BRK,116,0,2024-10-23,2025,True,240.0,39.0,80.0,0.488,9.0,28.0,0.321,33.0,46.0,0.717,12.0,33.0,45.0,25.0,12.0,9.0,16.0,20.0,0.599,0.544,0.35,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,100.0,115.6,111.8,11.0,16.0,0.917,2.0,6.0,0.5,14.0,16.0,1.0,4.0,9.0,10.0,12.0,5.0,3.0,6.0,5.0,30.0,12.0,0.956,0.917,1.0,1.0,15.7,32.8,19.6,52.7,6.7,10.5,32.4,29.3,169.0,124.0,40.0,91.0,0.44,17.0,43.0,0.395,19.0,25.0,0.76,12.0,31.0,43.0,21.0,8.0,6.0,19.0,32.0,0.569,0.533,0.473,0.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,100.0,111.8,115.6,14.0,27.0,0.75,7.0,13.0,0.667,8.0,8.0,1.0,3.0,5.0,8.0,8.0,3.0,2.0,6.0,5.0,36.0,8.0,0.76,0.75,0.714,1.143,21.9,36.2,22.4,46.6,4.1,6.3,60.0,34.6,154.0,125.0,81.39999999999999,78.4
21,BRK,116,0,ATL,120,1,2024-10-23,2025,False,240.0,40.0,91.0,0.44,17.0,43.0,0.395,19.0,25.0,0.76,12.0,31.0,43.0,21.0,8.0,6.0,19.0,32.0,0.569,0.533,0.473,0.275,26.7,72.1,48.9,52.5,7.7,11.5,15.7,100.0,111.8,115.6,14.0,27.0,0.75,7.0,13.0,0.667,8.0,8.0,1.0,3.0,5.0,8.0,8.0,3.0,2.0,6.0,5.0,36.0,8.0,0.76,0.75,0.714,1.143,21.9,36.2,22.4,46.6,4.1,6.3,60.0,34.6,154.0,125.0,39.0,80.0,0.488,9.0,28.0,0.321,33.0,46.0,0.717,12.0,33.0,45.0,25.0,12.0,9.0,16.0,20.0,0.599,0.544,0.35,0.575,27.9,73.3,51.1,64.1,11.6,18.8,13.8,100.0,115.6,111.8,11.0,16.0,0.917,2.0,6.0,0.5,14.0,16.0,1.0,4.0,9.0,10.0,12.0,5.0,3.0,6.0,5.0,30.0,12.0,0.956,0.917,1.0,1.0,15.7,32.8,19.6,52.7,6.7,10.5,32.4,29.3,169.0,124.0,80.4,75.49999999999999
